gitgdate,time,client_ip,port,query_domain,record_type,flag,nameserver_ip
1591920000000,27733929,188.186.147.36,18093,s1.ns.slt.lk,A,-E(0)DC,203.94.66.129
1591920000000,27733933,162.158.76.137,46712,amanawealth.lk,MX,-E(0)D,203.94.66.129
1591920000000,27733935,2001:b000:180:8002:0:2:8:37,41020,zfj.lk,A,-E(0)TD,2402:d000:100c::129
1591920000000,27733935,2a03:2880:20ff:14::face:b00c,22874,www.jfn.ac.lk,A,-E(0)DC,2402:d000:100c::129
1591920000000,27733936,240e:46:4088:1:1:1:1:12,49490,lankem.lk,A,-E(0)D,2402:d000:100c::129
1591920000000,27733948,164.151.129.34,10697,ns3.mobitel.lk,A,-E(0)DC,203.94.66.129
1591920000000,27733950,164.151.129.34,11189,ns2.mobitel.lk,A,-E(0)DC,203.94.66.129
1591920000000,27733962,46.21.103.12,40996,silverthai925.lk,NS,+,203.94.66.129
1591920000000,27733964,142.93.142.190,40743,d.nic.lk,AAAA,-E(0),203.94.66.129
1591920000000,27733967,2a03:2880:21:afc0:face:b00c:0:161,30651,headlinenews.lk,MX,-E(0)DC,2402:d000:100c::129
1591920000000,27733972,183.207.96.73,24426,idp.kdu.ac.lk,A,-E(0)DC,203.94.66.129
1591920000000,27733988,2a04:e4c0:16::67,61304,gov.lk,DS,-E(0)DC,2402:d000:100c::129
1591920000000,27734003,159.69.157.209,45195,silvermilan.lk,NS,+,203.94.66.129
1591920000000,27734011,2a03:2880:3011:ffc2:face:b00c:0:229,12153,ceyloninstyle.lk,MX,-E(0)DC,2402:d000:100c::129
1591920000000,27734033,46.21.103.12,39578,hdcti.com.lk,NS,+,203.94.66.129
1591920000000,27734039,151.252.30.43,34505,giilgroup.xn--fzc2c9e2c,NS,+E(0),203.94.66.129
1591920000000,27734044,198.71.224.4,8017,SEMBA.LK,AAAA,-E(0)D,203.94.66.129
1591920000000,27734056,162.158.76.137,57613,lk,DNSKEY,-E(0)D,203.94.66.129
1591920000000,27734058,95.216.159.208,51678,hdradiatorstock.com.lk,NS,+,203.94.66.129
1591920000000,27734059,156.38.171.142,31195,d.nic.lk,A,-E(0)DC,203.94.66.129
1591920000000,27734068,193.183.111.45,36144,innovatingmarkets.lk,NS,+E(0),203.94.66.129
1591920000000,27734086,95.216.159.208,44146,silverlearn.lk,NS,+,203.94.66.129
1591920000000,27734090,2a03:2880:3110:afc7:face:b00c:0:b66,52779,m.nic.lk,AAAA,-E(0)DC,2402:d000:100c::129
1591920000000,27734090,2a03:2880:3110:afc7:face:b00c:0:b66,19633,nethnews.lk,A,-E(0)DC,2402:d000:100c::129
1591920000000,27734090,2a03:2880:3110:afc7:face:b00c:0:b66,63270,l.nic.lk,AAAA,-E(0)DC,2402:d000:100c::129
1591920000000,27734092,2607:f8b0:4020:c01::102,45486,prk-grandson.lk,MX,-E(0)DC,2402:d000:100c::129
1591920000000,27734100,162.158.233.31,10237,afasonlineshoes.lk,NS,-E(0)D,203.94.66.129
1591920000000,27734107,2400:a980:3000:6666::186,9674,t.nic.lk,AAAA,-E(0)DC,2402:d000:100c::129
1591920000000,27734107,2400:a980:3000:6666::186,36590,t.nic.lk,A,-E(0)DC,2402:d000:100c::129
1591920000000,27734107,2400:a980:3000:6666::186,52693,l.nic.lk,A,-E(0)DC,2402:d000:100c::129
1591920000000,27734132,192.221.150.139,12524,ns2.hutch.lk,A,-E(0)DC,203.94.66.129
1591920000000,27734132,192.71.71.61,35529,giilhq.xn--xkc2al3hye2a,NS,+E(0),203.94.66.129
1591920000000,27734140,173.252.83.18,20313,www.wishmalokaya.lk,A,-E(0)DC,203.94.66.129
1591920000000,27734144,2a04:e4c0:16::65,34183,tradenetsl.lk,NS,-E(0)DC,2402:d000:100c::129
1591920000000,27734169,2a03:2880:13ff:15::face:b00c,56801,www.wishmalokaya.lk,AAAA,-E(0)DC,2402:d000:100c::129
1591920000000,27734169,2620:109:c003:104::205,47143,ns2.ac.lk,AAAA,-E(0)DC,2402:d000:100c::129
1591920000000,27734169,2620:109:c003:104::205,2531,ns2.ac.lk,A,-E(0)DC,2402:d000:100c::129
1591920000000,27734170,173.252.83.3,5239,www.wishmalokaya.lk,AAAA,-E(0)DC,203.94.66.129
1591920000000,27734173,52.87.86.158,19033,gLOBalELEvAToRS.Lk,A,-E(0)DC,203.94.66.129
1591920000000,27734175,2a02:b50:0:1::301,46674,globalelevators.lk,NS,-E(0)DK,2402:d000:100c::129
1591920000000,27734175,2a02:b50:0:1::301,42389,www.globalelevators.lk,CNAME,-E(0)DK,2402:d000:100c::129
1591920000000,27734182,2400:a980:3000:6666::187,51775,m.nic.lk,AAAA,-E(0)DC,2402:d000:100c::129
1591920000000,27734187,46.21.103.12,40996,silvertherapeutics.lk,NS,+,203.94.66.129
1591920000000,27734198,170.232.224.10,10432,globalelevators.lk,A,-E(0)D,203.94.66.129
1591920000000,27734199,199.249.18.1,51413,globalelevators.lk,NS,-E(0)DK,203.94.66.129
1591920000000,27734199,199.249.18.1,59398,globalelevators.lk,A,-E(0)DK,203.94.66.129
